title,subjects,authors,publish-date
A case-based interpretable deep learning model for classification of mass lesions in digital mammography,"['Breast cancer', 'Computational science', 'Computer science', 'Radiography']","['Alina Jade Barnett', 'Fides Regina Schwartz', 'Chaofan Tao', 'Chaofan Chen', 'Yinhao Ren', 'Joseph Y. Lo', 'Cynthia Rudin']",2021-12-15
DeepRank: a deep learning framework for data mining 3D protein-protein interfaces,"['Data mining', 'Machine learning', 'Molecular modelling', 'Protein structure predictions', 'Software']","['Nicolas Renaud', 'Cunliang Geng', 'Sonja Georgievska', 'Francesco Ambrosetti', 'Lars Ridder', 'Dario F. Marzella', 'Manon F. Réau', 'Alexandre M. J. J. Bonvin', 'Li C. Xue']",2021-12-03
A geometric deep learning approach to predict binding conformations of bioactive molecules,"['Cheminformatics', 'Computational models', 'Machine learning']","['Oscar Méndez-Lucio', 'Mazen Ahmad', 'Ehecatl Antonio del Rio-Chanona', 'Jörg Kurt Wegner']",2021-12-02
Comparisons of deep learning algorithms for diagnosing bacterial keratitis via external eye photographs,"['Preclinical research', 'Translational research']","['Ming-Tse Kuo', 'Benny Wei-Yun Hsu', 'Yi-Sheng Lin', 'Po-Chiung Fang', 'Hun-Ju Yu', 'Alexander Chen', 'Meng-Shan Yu', 'Vincent S. Tseng']",2021-12-20
A deep learning framework identifies dimensional representations of Alzheimer’s Disease from brain structure,"[""Alzheimer's disease"", 'Computer science', 'Magnetic resonance imaging', 'Prognostic markers']","['Zhijian Yang', 'Ilya M. Nasrallah', 'Haochang Shou', 'Junhao Wen', 'Jimit Doshi', 'Mohamad Habes', 'Guray Erus', 'Ahmed Abdulkadir', 'Susan M. Resnick', 'Marilyn S. Albert', 'Paul Maruff', 'Jurgen Fripp', 'John C. Morris', 'David A. Wolk', 'Christos Davatzikos', 'iSTAGING Consortium', 'Baltimore Longitudinal Study of Aging (BLSA)', 'Alzheimer’s Disease Neuroimaging Initiative (ADNI)']",2021-12-03
Deep learning enables genetic analysis of the human thoracic aorta,"['Anatomy', 'Aortic diseases', 'Data processing', 'Genome-wide association studies', 'Genomics']","['James P. Pirruccello', 'Mark D. Chaffin', 'Elizabeth L. Chou', 'Stephen J. Fleming', 'Honghuang Lin', 'Mahan Nekoui', 'Shaan Khurshid', 'Samuel F. Friedman', 'Alexander G. Bick', 'Alessandro Arduini', 'Lu-Chen Weng', 'Seung Hoan Choi', 'Amer-Denis Akkad', 'Puneet Batra', 'Nathan R. Tucker', 'Amelia W. Hall', 'Carolina Roselli', 'Emelia J. Benjamin', 'Shamsudheen K. Vellarikkal', 'Rajat M. Gupta', 'Christian M. Stegmann', 'Dejan Juric', 'James R. Stone', 'Ramachandran S. Vasan', 'Jennifer E. Ho', 'Udo Hoffmann', 'Steven A. Lubitz', 'Anthony A. Philippakis', 'Mark E. Lindsay', 'Patrick T. Ellinor']",2021-11-26
A deep learning approach for complex microstructure inference,"['Computational methods', 'Mechanical engineering']","['Ali Riza Durmaz', 'Martin Müller', 'Bo Lei', 'Akhil Thomas', 'Dominik Britz', 'Elizabeth A. Holm', 'Chris Eberl', 'Frank Mücklich', 'Peter Gumbsch']",2021-11-01
A deep learning method for recovering missing signals in transcriptome-wide RNA structure profiles from probing experiments,"['Computational models', 'Molecular modelling']","['Jing Gong', 'Kui Xu', 'Ziyuan Ma', 'Zhi John Lu', 'Qiangfeng Cliff Zhang']",2021-11-16
A convolutional deep learning model for improving mammographic breast-microcalcification diagnosis,"['Medical research', 'Oncology']","['Daesung Kang', 'Hye Mi Gweon', 'Na Lae Eun', 'Ji Hyun Youk', 'Jeong-Ah Kim', 'Eun Ju Son']",2021-12-14
Quantitative imaging of apoptosis following oncolytic virotherapy by magnetic resonance fingerprinting aided by deep learning,"['Biomedical engineering', 'Cancer imaging', 'Magnetic resonance imaging', 'Translational research', 'Tumour virus infections']","['Or Perlman', 'Hirotaka Ito', 'Kai Herz', 'Naoyuki Shono', 'Hiroshi Nakashima', 'Moritz Zaiss', 'E. Antonio Chiocca', 'Ouri Cohen', 'Matthew S. Rosen', 'Christian T. Farrar']",2021-11-11
Cross-property deep transfer learning framework for enhanced predictive analytics on small materials data,"['Computational chemistry', 'Computational methods']","['Vishu Gupta', 'Kamal Choudhary', 'Francesca Tavazza', 'Carelyn Campbell', 'Wei-keng Liao', 'Alok Choudhary', 'Ankit Agrawal']",2021-11-15
Deep learning for the prediction of early on-treatment response in metastatic colorectal cancer from serial medical imaging,"['Cancer imaging', 'Metastasis']","['Lin Lu', 'Laurent Dercle', 'Binsheng Zhao', 'Lawrence H. Schwartz']",2021-11-17
Whole-cell segmentation of tissue images with human-level performance using large-scale data annotation and deep learning,"['Image processing', 'Imaging', 'Software']","['Noah F. Greenwald', 'Geneva Miller', 'Erick Moen', 'Alex Kong', 'Adam Kagel', 'Thomas Dougherty', 'Christine Camacho Fullaway', 'Brianna J. McIntosh', 'Ke Xuan Leow', 'Morgan Sarah Schwartz', 'Cole Pavelchek', 'Sunny Cui', 'Isabella Camplisson', 'Omer Bar-Tal', 'Jaiveer Singh', 'Mara Fong', 'Gautam Chaudhry', 'Zion Abraham', 'Jackson Moseley', 'Shiri Warshawsky', 'Erin Soon', 'Shirley Greenbaum', 'Tyler Risom', 'Travis Hollmann', 'Sean C. Bendall', 'Leeat Keren', 'William Graf', 'Michael Angelo', 'David Van Valen']",2021-11-18
Autonomous extraction of millimeter-scale deformation in InSAR time series using deep learning,"['Computer science', 'Geophysics', 'Tectonics']","['Bertrand Rouet-Leduc', 'Romain Jolivet', 'Manon Dalaison', 'Paul A. Johnson', 'Claudia Hulbert']",2021-11-10
Deep reinforcement learning-designed radiofrequency waveform in MRI,"['Biomedical engineering', 'Computational science', 'Magnetic resonance imaging']","['Dongmyung Shin', 'Younghoon Kim', 'Chungseok Oh', 'Hongjun An', 'Juhyung Park', 'Jiye Kim', 'Jongho Lee']",2021-11-16
Physics-informed deep learning characterizes morphodynamics of Asian soybean rust disease,"['Computational biophysics', 'High-throughput screening', 'Machine learning', 'Stochastic modelling']","['Henry Cavanagh', 'Andreas Mosbach', 'Gabriel Scalliet', 'Rob Lind', 'Robert G. Endres']",2021-11-05
Accurate recognition of colorectal cancer with semi-supervised deep learning on pathological images,"['Biomedical engineering', 'Cancer imaging', 'Machine learning']","['Gang Yu', 'Kai Sun', 'Chao Xu', 'Xing-Hua Shi', 'Chong Wu', 'Ting Xie', 'Run-Qi Meng', 'Xiang-He Meng', 'Kuan-Song Wang', 'Hong-Mei Xiao', 'Hong-Wen Deng']",2021-11-02
Unsupervised deep learning identifies semantic disentanglement in single inferotemporal face patch neurons,"['Computational neuroscience', 'Neuroscience', 'Object vision', 'Visual system']","['Irina Higgins', 'Le Chang', 'Victoria Langston', 'Demis Hassabis', 'Christopher Summerfield', 'Doris Tsao', 'Matthew Botvinick']",2021-11-09
Label-free multiplexed microtomography of endogenous subcellular dynamics using generalizable deep learning,"['Imaging', 'Microscopy']","['YoungJu Jo', 'Hyungjoo Cho', 'Wei Sun Park', 'Geon Kim', 'DongHun Ryu', 'Young Seo Kim', 'Moosung Lee', 'Sangwoo Park', 'Mahn Jae Lee', 'Hosung Joo', 'HangHun Jo', 'Seongsoo Lee', 'Sumin Lee', 'Hyun-seok Min', 'Won Do Heo', 'YongKeun Park']",2021-12-07
